filename,width,height,class,xmin,ymin,xmax,ymax
image_14.jpg,762,225,text,279,193,319,218
image_15.jpg,771,229,text,7,12,60,45
image_15.jpg,771,229,text,6,60,82,86
image_15.jpg,771,229,text,9,103,56,135
image_15.jpg,771,229,text,6,147,68,176
image_15.jpg,771,229,text,99,144,164,178
image_15.jpg,771,229,text,226,147,289,178
image_15.jpg,771,229,text,4,189,86,223
image_15.jpg,771,229,text,119,189,194,221
image_15.jpg,771,229,input,84,5,295,49
image_15.jpg,771,229,input,94,55,297,91
image_15.jpg,771,229,input,84,92,207,137
image_15.jpg,771,229,input,462,9,762,67
image_15.jpg,771,229,input,461,76,602,110
image_15.jpg,771,229,input,460,118,678,156
image_15.jpg,771,229,text,368,15,460,44
image_15.jpg,771,229,text,374,77,424,114
image_15.jpg,771,229,text,370,125,437,156
image_16.jpg,758,270,input,82,8,290,51
image_16.jpg,758,270,input,85,56,294,90
image_16.jpg,758,270,input,85,99,196,136
image_16.jpg,758,270,input,458,12,749,89
image_16.jpg,758,270,input,458,99,566,134
image_16.jpg,758,270,input,458,147,663,179
image_16.jpg,758,270,input,456,186,659,225
image_16.jpg,758,270,text,2,16,55,47
image_16.jpg,758,270,text,2,60,73,90
image_16.jpg,758,270,text,3,108,48,134
image_16.jpg,758,270,text,4,153,64,177
image_16.jpg,758,270,text,3,195,78,225
image_16.jpg,758,270,text,3,237,76,266
image_16.jpg,758,270,text,370,19,451,43
image_16.jpg,758,270,text,370,104,408,130
image_16.jpg,758,270,text,368,147,432,177
image_16.jpg,758,270,text,366,192,428,219
image_24.jpg,471,441,input,57,3,184,33
image_24.jpg,471,441,input,55,36,198,60
image_24.jpg,471,441,input,58,63,131,85
image_24.jpg,471,441,input,288,8,466,57
image_24.jpg,471,441,input,284,60,356,86
image_24.jpg,471,441,input,285,88,416,109
image_24.jpg,471,441,input,285,114,423,138
image_24.jpg,471,441,input,105,185,250,206
image_24.jpg,471,441,input,57,214,196,235
image_24.jpg,471,441,input,110,242,190,262
image_24.jpg,471,441,input,110,270,190,288
image_24.jpg,471,441,input,110,296,196,317
image_24.jpg,471,441,input,336,267,427,289
image_24.jpg,471,441,input,332,296,420,319
image_24.jpg,471,441,text,5,7,40,28
image_24.jpg,471,441,text,6,36,54,56
image_24.jpg,471,441,text,8,63,40,85
image_24.jpg,471,441,text,5,91,45,107
image_24.jpg,471,441,text,77,91,123,108
image_24.jpg,471,441,text,6,117,55,134
image_24.jpg,471,441,text,5,142,55,164
image_24.jpg,471,441,text,3,182,86,204
image_24.jpg,471,441,text,234,7,283,28
image_24.jpg,471,441,text,226,63,263,83
image_24.jpg,471,441,text,226,89,271,105
image_24.jpg,471,441,text,233,117,270,136
image_24.jpg,471,441,text,6,210,44,231
image_24.jpg,471,441,text,4,238,94,258
image_24.jpg,471,441,text,4,263,87,284
image_24.jpg,471,441,text,3,289,89,316
image_24.jpg,471,441,text,233,259,294,284
image_24.jpg,471,441,text,226,291,310,312
image_24.jpg,471,441,text,7,334,140,356
image_24.jpg,471,441,text,6,362,135,383
image_24.jpg,471,441,text,7,391,138,411
image_24.jpg,471,441,text,7,419,122,438
image_9.jpg,224,170,input,52,4,170,22
image_9.jpg,224,170,input,54,29,171,51
image_9.jpg,224,170,input,54,56,117,76
image_9.jpg,224,170,input,54,81,221,114
image_9.jpg,224,170,input,54,120,117,142
image_9.jpg,224,170,input,54,146,169,166
image_9.jpg,224,170,text,4,5,39,21
image_9.jpg,224,170,text,4,32,51,48
image_9.jpg,224,170,text,4,57,39,73
image_9.jpg,224,170,text,4,81,52,102
image_9.jpg,224,170,text,2,119,29,138
image_9.jpg,224,170,text,4,147,37,166
